Granularidade Geográfica;Categoria;Filtro;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Piauí;Localidade;Total;Piauí;PI;2014;0,9693;%;1.2
Paraná;Localidade;Total;Paraná;PR;2014;0,5794;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2014;0,3691;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2014;0,8353;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2014;0,4269;%;1.2
Roraima;Localidade;Total;Roraima;RR;2014;0,4646;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2014;0,444;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2014;0,6224;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2014;0,7416;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2014;0,3524;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2014;0,8175;%;1.2
Brasil;Localidade;Total;;;2014;0,5247;%;1.2
Acre;Localidade;Total;Acre;AC;2015;0,667;%;1.2
Alagoas;Localidade;Total;Alagoas;AL;2015;0,6957;%;1.2
Amazonas;Localidade;Total;Amazonas;AM;2015;0,4766;%;1.2
Amapá;Localidade;Total;Amapá;AP;2015;0,5044;%;1.2
Bahia;Localidade;Total;Bahia;BA;2015;0,5651;%;1.2
Ceará;Localidade;Total;Ceará;CE;2015;0,6538;%;1.2
Distrito Federal;Localidade;Total;Distrito Federal;DF;2015;0,2623;%;1.2
Espírito Santo;Localidade;Total;Espírito Santo;ES;2015;0,5579;%;1.2
Goiás;Localidade;Total;Goiás;GO;2015;0,577;%;1.2
Maranhão;Localidade;Total;Maranhão;MA;2015;0,6347;%;1.2
Minas Gerais;Localidade;Total;Minas Gerais;MG;2015;0,6015;%;1.2
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;2015;0,7937;%;1.2
Mato Grosso;Localidade;Total;Mato Grosso;MT;2015;0,5355;%;1.2
Pará;Localidade;Total;Pará;PA;2015;0,3853;%;1.2
Paraíba;Localidade;Total;Paraíba;PB;2015;0,9351;%;1.2
Pernambuco;Localidade;Total;Pernambuco;PE;2015;0,6104;%;1.2
Piauí;Localidade;Total;Piauí;PI;2015;0,9749;%;1.2
Paraná;Localidade;Total;Paraná;PR;2015;0,5618;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2015;0,3616;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2015;0,8093;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2015;0,3865;%;1.2
Roraima;Localidade;Total;Roraima;RR;2015;0,4591;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2015;0,4424;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2015;0,6089;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2015;0,7451;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2015;0,3547;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2015;0,8381;%;1.2
Brasil;Localidade;Total;;;2015;0,5213;%;1.2
Acre;Localidade;Total;Acre;AC;2016;0,6584;%;1.2
Alagoas;Localidade;Total;Alagoas;AL;2016;0,6959;%;1.2
Amazonas;Localidade;Total;Amazonas;AM;2016;0,4752;%;1.2
Amapá;Localidade;Total;Amapá;AP;2016;0,5175;%;1.2
Bahia;Localidade;Total;Bahia;BA;2016;0,5533;%;1.2
Ceará;Localidade;Total;Ceará;CE;2016;0,6368;%;1.2
Distrito Federal;Localidade;Total;Distrito Federal;DF;2016;0,2597;%;1.2
Espírito Santo;Localidade;Total;Espírito Santo;ES;2016;0,5503;%;1.2
Goiás;Localidade;Total;Goiás;GO;2016;0,5749;%;1.2
Maranhão;Localidade;Total;Maranhão;MA;2016;0,6413;%;1.2
Minas Gerais;Localidade;Total;Minas Gerais;MG;2016;0,5939;%;1.2
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;2016;0,7731;%;1.2
Mato Grosso;Localidade;Total;Mato Grosso;MT;2016;0,5548;%;1.2
